basis,scan coordinate,method,state index,spin multiplicity,spin type,energy (Hartree)
cc-pvdz,-0.9,LDA,9,3,UNPOLARIZED,-152.4547609700374
cc-pvdz,-0.9,LDA,10,1,UNPOLARIZED,-152.44408600753283
cc-pvdz,-0.9,LDA,10,3,UNPOLARIZED,-152.43580538640535
cc-pvdz,-0.9,LDA,11,3,UNPOLARIZED,-152.410708620122
cc-pvdz,-0.9,LDA,11,1,UNPOLARIZED,-152.39189463776418
cc-pvdz,-0.9,LDA,12,1,UNPOLARIZED,-152.36928978634512
cc-pvdz,-0.9,LDA,12,3,UNPOLARIZED,-152.34995975505637
cc-pvdz,-0.9,LDA,13,3,UNPOLARIZED,-152.31275537632703
cc-pvdz,-0.9,LDA,13,1,UNPOLARIZED,-152.31162946273707
cc-pvdz,-0.9,LDA,14,1,UNPOLARIZED,-152.3035200090648
cc-pvdz,-0.9,LDA,14,3,UNPOLARIZED,-152.22799699995088
cc-pvdz,-0.9,LDA,15,1,UNPOLARIZED,-152.22678327111757
cc-pvdz,-0.9,LDA,15,3,UNPOLARIZED,-152.11514605214458
cc-pvdz,-0.9,LDA,16,1,UNPOLARIZED,-152.0977700652895
cc-pvdz,-0.9,LDA,17,1,UNPOLARIZED,-152.08277937964613
cc-pvdz,-0.9,LDA,18,1,UNPOLARIZED,-152.07204185612636
cc-pvdz,-0.9,LDA,19,1,UNPOLARIZED,-152.05539164539337
cc-pvdz,-0.9,LDA,20,1,UNPOLARIZED,-151.97817209333255
cc-pvdz,-0.8,LDA,1,1,UNPOLARIZED,-153.01105920095998
cc-pvdz,-0.8,LDA,1,3,UNPOLARIZED,-152.9580938952305
cc-pvdz,-0.8,LDA,2,1,UNPOLARIZED,-152.87479924683282
cc-pvdz,-0.8,LDA,3,1,UNPOLARIZED,-152.86805033482096
cc-pvdz,-0.8,LDA,2,3,UNPOLARIZED,-152.85785870896007
cc-pvdz,-0.8,LDA,3,3,UNPOLARIZED,-152.79240492773403
cc-pvdz,-0.8,LDA,4,3,UNPOLARIZED,-152.71003202858424
cc-pvdz,-0.8,LDA,4,1,UNPOLARIZED,-152.7087464773576
cc-pvdz,-0.8,LDA,1,5,UNPOLARIZED,-152.70481822140678
cc-pvdz,-0.8,LDA,5,3,UNPOLARIZED,-152.65547716044475
cc-pvdz,-0.8,LDA,5,1,UNPOLARIZED,-152.65128147596852
cc-pvdz,-0.8,LDA,6,1,UNPOLARIZED,-152.64999855556871
cc-pvdz,-0.8,LDA,7,1,UNPOLARIZED,-152.61583473954337
cc-pvdz,-0.8,LDA,6,3,UNPOLARIZED,-152.60678360299522
cc-pvdz,-0.8,LDA,8,1,UNPOLARIZED,-152.5634217014492
cc-pvdz,-0.8,LDA,9,1,UNPOLARIZED,-152.55793022571564
cc-pvdz,-0.8,LDA,7,3,UNPOLARIZED,-152.52959339376784
cc-pvdz,-0.8,LDA,8,3,UNPOLARIZED,-152.5119028655722
cc-pvdz,-0.8,LDA,9,3,UNPOLARIZED,-152.46656268680493
cc-pvdz,-0.8,LDA,10,1,UNPOLARIZED,-152.44964779647032
cc-pvdz,-0.8,LDA,10,3,UNPOLARIZED,-152.44199281421032
cc-pvdz,-0.8,LDA,11,3,UNPOLARIZED,-152.414037380037
cc-pvdz,-0.8,LDA,11,1,UNPOLARIZED,-152.40428386431685
cc-pvdz,-0.8,LDA,12,1,UNPOLARIZED,-152.37377949719607
cc-pvdz,-0.8,LDA,12,3,UNPOLARIZED,-152.3587754345713
cc-pvdz,-0.8,LDA,13,3,UNPOLARIZED,-152.31493721367755
cc-pvdz,-0.8,LDA,13,1,UNPOLARIZED,-152.3137638158298
cc-pvdz,-0.8,LDA,14,1,UNPOLARIZED,-152.30780295294628
cc-pvdz,-0.8,LDA,14,3,UNPOLARIZED,-152.23808425484256
cc-pvdz,-0.8,LDA,15,1,UNPOLARIZED,-152.23687544882688
cc-pvdz,-0.8,LDA,15,3,UNPOLARIZED,-152.12168126238996
cc-pvdz,-0.8,LDA,16,1,UNPOLARIZED,-152.10333654582783
cc-pvdz,-0.8,LDA,17,1,UNPOLARIZED,-152.0901202484164
cc-pvdz,-0.8,LDA,18,1,UNPOLARIZED,-152.07823976882102
cc-pvdz,-0.8,LDA,19,1,UNPOLARIZED,-152.06041317889606
cc-pvdz,-0.8,LDA,20,1,UNPOLARIZED,-151.98886796981213
cc-pvdz,-0.7,LDA,1,1,UNPOLARIZED,-153.0090778071121
cc-pvdz,-0.7,LDA,1,3,UNPOLARIZED,-152.96232022956784
cc-pvdz,-0.7,LDA,2,1,UNPOLARIZED,-152.87903527588492
cc-pvdz,-0.7,LDA,3,1,UNPOLARIZED,-152.87838644213122
cc-pvdz,-0.7,LDA,2,3,UNPOLARIZED,-152.8589458506895
cc-pvdz,-0.7,LDA,3,3,UNPOLARIZED,-152.80038782980523
cc-pvdz,-0.7,LDA,4,3,UNPOLARIZED,-152.711772290956
cc-pvdz,-0.7,LDA,4,1,UNPOLARIZED,-152.7104430650359
cc-pvdz,-0.7,LDA,1,5,UNPOLARIZED,-152.70974601475385
cc-pvdz,-0.7,LDA,5,3,UNPOLARIZED,-152.66289056919118
cc-pvdz,-0.7,LDA,5,1,UNPOLARIZED,-152.6589508295481
cc-pvdz,-0.7,LDA,6,1,UNPOLARIZED,-152.64974260728843
cc-pvdz,-0.7,LDA,7,1,UNPOLARIZED,-152.62099880617077
cc-pvdz,-0.7,LDA,6,3,UNPOLARIZED,-152.60577692404982
cc-pvdz,-0.7,LDA,8,1,UNPOLARIZED,-152.57219965068654
cc-pvdz,-0.7,LDA,9,1,UNPOLARIZED,-152.55631850487555
cc-pvdz,-0.7,LDA,7,3,UNPOLARIZED,-152.53340805844715
cc-pvdz,-0.7,LDA,8,3,UNPOLARIZED,-152.51739691729958
cc-pvdz,-0.7,LDA,9,3,UNPOLARIZED,-152.47759004089548
cc-pvdz,-0.7,LDA,10,1,UNPOLARIZED,-152.45454611881465
cc-pvdz,-0.7,LDA,10,3,UNPOLARIZED,-152.44746175232817
cc-pvdz,-0.7,LDA,11,3,UNPOLARIZED,-152.4166339792242
cc-pvdz,-0.7,LDA,11,1,UNPOLARIZED,-152.41589118211633
cc-pvdz,-0.7,LDA,12,1,UNPOLARIZED,-152.3776846988664
cc-pvdz,-0.7,LDA,12,3,UNPOLARIZED,-152.36684762986835
cc-pvdz,-0.7,LDA,13,3,UNPOLARIZED,-152.3163646212758
cc-pvdz,-0.7,LDA,13,1,UNPOLARIZED,-152.31514640447008
cc-pvdz,-0.7,LDA,14,1,UNPOLARIZED,-152.3115280210071
cc-pvdz,-0.7,LDA,14,3,UNPOLARIZED,-152.24743031041683
cc-pvdz,-0.7,LDA,15,1,UNPOLARIZED,-152.24622617164286
cc-pvdz,-0.7,LDA,15,3,UNPOLARIZED,-152.12740342996742
cc-pvdz,-0.7,LDA,16,1,UNPOLARIZED,-152.10812324282782
cc-pvdz,-0.7,LDA,17,1,UNPOLARIZED,-152.09669076092925
cc-pvdz,-0.7,LDA,18,1,UNPOLARIZED,-152.08365337822895
cc-pvdz,-0.7,LDA,19,1,UNPOLARIZED,-152.0645354396838
cc-pvdz,-0.7,LDA,20,1,UNPOLARIZED,-151.99862231310655
cc-pvdz,-0.6,LDA,1,1,UNPOLARIZED,-153.00672524718837
cc-pvdz,-0.6,LDA,1,3,UNPOLARIZED,-152.96601576032836
cc-pvdz,-0.6,LDA,2,1,UNPOLARIZED,-152.88804450163263
cc-pvdz,-0.6,LDA,3,1,UNPOLARIZED,-152.88273841059964
cc-pvdz,-0.6,LDA,2,3,UNPOLARIZED,-152.8594364600277
cc-pvdz,-0.6,LDA,3,3,UNPOLARIZED,-152.80778263263522
cc-pvdz,-0.6,LDA,1,5,UNPOLARIZED,-152.7140113227562
cc-pvdz,-0.6,LDA,4,3,UNPOLARIZED,-152.71291421251206
cc-pvdz,-0.6,LDA,4,1,UNPOLARIZED,-152.71153431089866
cc-pvdz,-0.6,LDA,5,3,UNPOLARIZED,-152.66970952638837
cc-pvdz,-0.6,LDA,5,1,UNPOLARIZED,-152.66600970131364
cc-pvdz,-0.6,LDA,6,1,UNPOLARIZED,-152.64891391348058
cc-pvdz,-0.6,LDA,7,1,UNPOLARIZED,-152.6254782539222
cc-pvdz,-0.6,LDA,6,3,UNPOLARIZED,-152.60423068898163
cc-pvdz,-0.6,LDA,8,1,UNPOLARIZED,-152.5804180083785
cc-pvdz,-0.6,LDA,9,1,UNPOLARIZED,-152.55418887866173
cc-pvdz,-0.6,LDA,7,3,UNPOLARIZED,-152.53659332078672
cc-pvdz,-0.6,LDA,8,3,UNPOLARIZED,-152.52224398078778
cc-pvdz,-0.6,LDA,9,3,UNPOLARIZED,-152.48781776987565
cc-pvdz,-0.6,LDA,10,1,UNPOLARIZED,-152.458783567819
cc-pvdz,-0.6,LDA,10,3,UNPOLARIZED,-152.4522165392559
cc-pvdz,-0.6,LDA,11,1,UNPOLARIZED,-152.4266878795836
cc-pvdz,-0.6,LDA,11,3,UNPOLARIZED,-152.41850056980707
cc-pvdz,-0.6,LDA,12,1,UNPOLARIZED,-152.38101500066495
cc-pvdz,-0.6,LDA,12,3,UNPOLARIZED,-152.37418178188176
cc-pvdz,-0.6,LDA,13,3,UNPOLARIZED,-152.3170421676775
cc-pvdz,-0.6,LDA,13,1,UNPOLARIZED,-152.31578165134624
cc-pvdz,-0.6,LDA,14,1,UNPOLARIZED,-152.31470296567784
cc-pvdz,-0.6,LDA,14,3,UNPOLARIZED,-152.2560403161105
cc-pvdz,-0.6,LDA,15,1,UNPOLARIZED,-152.25484057434244
cc-pvdz,-0.6,LDA,15,3,UNPOLARIZED,-152.1323170404196
cc-pvdz,-0.6,LDA,16,1,UNPOLARIZED,-152.11213481165197
cc-pvdz,-0.6,LDA,17,1,UNPOLARIZED,-152.10249317712413
cc-pvdz,-0.6,LDA,18,1,UNPOLARIZED,-152.08828735438829
cc-pvdz,-0.6,LDA,19,1,UNPOLARIZED,-152.06776832611507
cc-pvdz,-0.6,LDA,20,1,UNPOLARIZED,-152.00742577260093
cc-pvdz,-0.5,LDA,1,1,UNPOLARIZED,-153.00405612085316
cc-pvdz,-0.5,LDA,1,3,UNPOLARIZED,-152.9691826143671
cc-pvdz,-0.5,LDA,2,1,UNPOLARIZED,-152.89697391053272
cc-pvdz,-0.5,LDA,3,1,UNPOLARIZED,-152.885910669502
cc-pvdz,-0.5,LDA,2,3,UNPOLARIZED,-152.85933203118816
cc-pvdz,-0.5,LDA,3,3,UNPOLARIZED,-152.814592319142
cc-pvdz,-0.5,LDA,1,5,UNPOLARIZED,-152.71761658358884
cc-pvdz,-0.5,LDA,4,3,UNPOLARIZED,-152.71345917944996
cc-pvdz,-0.5,LDA,4,1,UNPOLARIZED,-152.71202126593278
cc-pvdz,-0.5,LDA,5,3,UNPOLARIZED,-152.67593666674145
cc-pvdz,-0.5,LDA,5,1,UNPOLARIZED,-152.67246147358807
cc-pvdz,-0.5,LDA,6,1,UNPOLARIZED,-152.64751398063189
cc-pvdz,-0.5,LDA,7,1,UNPOLARIZED,-152.62927586909993
cc-pvdz,-0.5,LDA,6,3,UNPOLARIZED,-152.60218980131012
cc-pvdz,-0.5,LDA,8,1,UNPOLARIZED,-152.58807979877986
cc-pvdz,-0.5,LDA,9,1,UNPOLARIZED,-152.5515909805199
cc-pvdz,-0.5,LDA,7,3,UNPOLARIZED,-152.5391607105543
cc-pvdz,-0.5,LDA,8,3,UNPOLARIZED,-152.52643690225062
cc-pvdz,-0.5,LDA,9,3,UNPOLARIZED,-152.49720571126235
cc-pvdz,-0.5,LDA,10,1,UNPOLARIZED,-152.4623613202647
cc-pvdz,-0.5,LDA,10,3,UNPOLARIZED,-152.45625989142005
cc-pvdz,-0.5,LDA,11,1,UNPOLARIZED,-152.43662892251146
cc-pvdz,-0.5,LDA,11,3,UNPOLARIZED,-152.41963777087972
cc-pvdz,-0.5,LDA,12,1,UNPOLARIZED,-152.38377814068653
cc-pvdz,-0.5,LDA,12,3,UNPOLARIZED,-152.38078170047459
cc-pvdz,-0.5,LDA,13,1,UNPOLARIZED,-152.3173333027834
cc-pvdz,-0.5,LDA,13,3,UNPOLARIZED,-152.31697266759744
cc-pvdz,-0.5,LDA,14,1,UNPOLARIZED,-152.31567221718964
cc-pvdz,-0.5,LDA,14,3,UNPOLARIZED,-152.26391776271961
cc-pvdz,-0.5,LDA,15,1,UNPOLARIZED,-152.2627221450459
cc-pvdz,-0.5,LDA,15,3,UNPOLARIZED,-152.1364249054849
cc-pvdz,-0.5,LDA,16,1,UNPOLARIZED,-152.1153742892571
cc-pvdz,-0.5,LDA,17,1,UNPOLARIZED,-152.1075282235774
cc-pvdz,-0.5,LDA,18,1,UNPOLARIZED,-152.09214467099872
cc-pvdz,-0.5,LDA,19,1,UNPOLARIZED,-152.07012571145918
cc-pvdz,-0.5,LDA,20,1,UNPOLARIZED,-152.0152624205822
cc-pvdz,-0.3999999999999999,LDA,1,1,UNPOLARIZED,-153.00114754117334
cc-pvdz,-0.3999999999999999,LDA,1,3,UNPOLARIZED,-152.97182137601067
cc-pvdz,-0.3999999999999999,LDA,2,1,UNPOLARIZED,-152.90509847472498
cc-pvdz,-0.3999999999999999,LDA,3,1,UNPOLARIZED,-152.88855255637532
cc-pvdz,-0.3999999999999999,LDA,2,3,UNPOLARIZED,-152.85863250256585
cc-pvdz,-0.3999999999999999,LDA,3,3,UNPOLARIZED,-152.82081828566686
cc-pvdz,-0.3999999999999999,LDA,1,5,UNPOLARIZED,-152.7205626314254
cc-pvdz,-0.3999999999999999,LDA,4,3,UNPOLARIZED,-152.7134070189096
cc-pvdz,-0.3999999999999999,LDA,4,1,UNPOLARIZED,-152.71190341580592
cc-pvdz,-0.3999999999999999,LDA,5,3,UNPOLARIZED,-152.68157309684938
cc-pvdz,-0.3999999999999999,LDA,5,1,UNPOLARIZED,-152.67830794675982
cc-pvdz,-0.3999999999999999,LDA,6,1,UNPOLARIZED,-152.64554272796377
cc-pvdz,-0.3999999999999999,LDA,7,1,UNPOLARIZED,-152.63239280818038
cc-pvdz,-0.3999999999999999,LDA,6,3,UNPOLARIZED,-152.59971774089158
cc-pvdz,-0.3999999999999999,LDA,8,1,UNPOLARIZED,-152.5951865230483
cc-pvdz,-0.3999999999999999,LDA,9,1,UNPOLARIZED,-152.54859519285432
cc-pvdz,-0.3999999999999999,LDA,7,3,UNPOLARIZED,-152.5411250248452
cc-pvdz,-0.3999999999999999,LDA,8,3,UNPOLARIZED,-152.52996211186672
cc-pvdz,-0.3999999999999999,LDA,9,3,UNPOLARIZED,-152.50569190184265
cc-pvdz,-0.3999999999999999,LDA,10,1,UNPOLARIZED,-152.46527910979435
cc-pvdz,-0.3999999999999999,LDA,10,3,UNPOLARIZED,-152.45959287377613
cc-pvdz,-0.3999999999999999,LDA,11,1,UNPOLARIZED,-152.44564531921392
cc-pvdz,-0.3999999999999999,LDA,11,3,UNPOLARIZED,-152.42004464690575
cc-pvdz,-0.3999999999999999,LDA,12,3,UNPOLARIZED,-152.38664955439623
cc-pvdz,-0.3999999999999999,LDA,12,1,UNPOLARIZED,-152.38597991190292
cc-pvdz,-0.3999999999999999,LDA,13,1,UNPOLARIZED,-152.31942230741805
cc-pvdz,-0.3999999999999999,LDA,13,3,UNPOLARIZED,-152.3161571751022
cc-pvdz,-0.3999999999999999,LDA,14,1,UNPOLARIZED,-152.31481899769778
cc-pvdz,-0.3999999999999999,LDA,14,3,UNPOLARIZED,-152.2710644667508
cc-pvdz,-0.3999999999999999,LDA,15,1,UNPOLARIZED,-152.26987270900406
cc-pvdz,-0.3999999999999999,LDA,15,3,UNPOLARIZED,-152.1397281485008
cc-pvdz,-0.3999999999999999,LDA,16,1,UNPOLARIZED,-152.1178430857946
cc-pvdz,-0.3999999999999999,LDA,17,1,UNPOLARIZED,-152.11179507963686
cc-pvdz,-0.3999999999999999,LDA,18,1,UNPOLARIZED,-152.09522659266102
cc-pvdz,-0.3999999999999999,LDA,19,1,UNPOLARIZED,-152.07162791114754
cc-pvdz,-0.3999999999999999,LDA,20,1,UNPOLARIZED,-152.02210732434924
cc-pvdz,-0.29999999999999993,LDA,1,1,UNPOLARIZED,-152.9981107997954
cc-pvdz,-0.29999999999999993,LDA,1,3,UNPOLARIZED,-152.97393107413328
cc-pvdz,-0.29999999999999993,LDA,2,1,UNPOLARIZED,-152.9123047183436
cc-pvdz,-0.29999999999999993,LDA,3,1,UNPOLARIZED,-152.89066304645758
cc-pvdz,-0.29999999999999993,LDA,2,3,UNPOLARIZED,-152.85733624298504
cc-pvdz,-0.29999999999999993,LDA,3,3,UNPOLARIZED,-152.82646033078282
cc-pvdz,-0.29999999999999993,LDA,1,5,UNPOLARIZED,-152.72284868173426
cc-pvdz,-0.29999999999999993,LDA,4,3,UNPOLARIZED,-152.7127559851301
cc-pvdz,-0.29999999999999993,LDA,4,1,UNPOLARIZED,-152.71117866497755
cc-pvdz,-0.29999999999999993,LDA,5,3,UNPOLARIZED,-152.68661837910676
cc-pvdz,-0.29999999999999993,LDA,5,1,UNPOLARIZED,-152.68354932710437
cc-pvdz,-0.29999999999999993,LDA,6,1,UNPOLARIZED,-152.64299847371666
cc-pvdz,-0.29999999999999993,LDA,7,1,UNPOLARIZED,-152.63482858152418
cc-pvdz,-0.29999999999999993,LDA,8,1,UNPOLARIZED,-152.60173813451632
cc-pvdz,-0.29999999999999993,LDA,6,3,UNPOLARIZED,-152.59690711425063
cc-pvdz,-0.29999999999999993,LDA,9,1,UNPOLARIZED,-152.54530428293495
cc-pvdz,-0.29999999999999993,LDA,7,3,UNPOLARIZED,-152.54250748871388
cc-pvdz,-0.29999999999999993,LDA,8,3,UNPOLARIZED,-152.5327964507568
cc-pvdz,-0.29999999999999993,LDA,9,3,UNPOLARIZED,-152.51318199780957
cc-pvdz,-0.29999999999999993,LDA,10,1,UNPOLARIZED,-152.46753519953091
cc-pvdz,-0.29999999999999993,LDA,10,3,UNPOLARIZED,-152.46221486809318
cc-pvdz,-0.29999999999999993,LDA,11,1,UNPOLARIZED,-152.45363245490051
cc-pvdz,-0.29999999999999993,LDA,11,3,UNPOLARIZED,-152.41971868416516
cc-pvdz,-0.29999999999999993,LDA,12,3,UNPOLARIZED,-152.3917858592129
cc-pvdz,-0.29999999999999993,LDA,12,1,UNPOLARIZED,-152.38762408521748
cc-pvdz,-0.29999999999999993,LDA,13,1,UNPOLARIZED,-152.32097102076747
cc-pvdz,-0.29999999999999993,LDA,13,3,UNPOLARIZED,-152.31459497448367
cc-pvdz,-0.29999999999999993,LDA,14,1,UNPOLARIZED,-152.31322111764305
cc-pvdz,-0.29999999999999993,LDA,14,3,UNPOLARIZED,-152.2774805522831
cc-pvdz,-0.29999999999999993,LDA,15,1,UNPOLARIZED,-152.27629240992712
cc-pvdz,-0.29999999999999993,LDA,15,3,UNPOLARIZED,-152.14222618769057
cc-pvdz,-0.29999999999999993,LDA,16,1,UNPOLARIZED,-152.11954097396014
cc-pvdz,-0.29999999999999993,LDA,17,1,UNPOLARIZED,-152.11529136080472
cc-pvdz,-0.29999999999999993,LDA,18,1,UNPOLARIZED,-152.09753265981044
cc-pvdz,-0.29999999999999993,LDA,19,1,UNPOLARIZED,-152.07230552013394
cc-pvdz,-0.29999999999999993,LDA,20,1,UNPOLARIZED,-152.02792272978164
cc-pvdz,-0.19999999999999996,LDA,1,1,UNPOLARIZED,-152.99510660478992
cc-pvdz,-0.19999999999999996,LDA,1,3,UNPOLARIZED,-152.97550916582802
cc-pvdz,-0.19999999999999996,LDA,2,1,UNPOLARIZED,-152.9184266137706
cc-pvdz,-0.19999999999999996,LDA,3,1,UNPOLARIZED,-152.89223956937036
cc-pvdz,-0.19999999999999996,LDA,2,3,UNPOLARIZED,-152.8554400345571
cc-pvdz,-0.19999999999999996,LDA,3,3,UNPOLARIZED,-152.83151664074137
cc-pvdz,-0.19999999999999996,LDA,1,5,UNPOLARIZED,-152.72447231334482
cc-pvdz,-0.19999999999999996,LDA,4,3,UNPOLARIZED,-152.71150274255518
cc-pvdz,-0.19999999999999996,LDA,4,1,UNPOLARIZED,-152.70984331752092
cc-pvdz,-0.19999999999999996,LDA,5,3,UNPOLARIZED,-152.69107051222454
cc-pvdz,-0.19999999999999996,LDA,5,1,UNPOLARIZED,-152.68818421134011
cc-pvdz,-0.19999999999999996,LDA,6,1,UNPOLARIZED,-152.63987791847103
cc-pvdz,-0.19999999999999996,LDA,7,1,UNPOLARIZED,-152.6365810340434
cc-pvdz,-0.19999999999999996,LDA,8,1,UNPOLARIZED,-152.60773301177645
cc-pvdz,-0.19999999999999996,LDA,6,3,UNPOLARIZED,-152.59389481682743
cc-pvdz,-0.19999999999999996,LDA,7,3,UNPOLARIZED,-152.54334057470754
cc-pvdz,-0.19999999999999996,LDA,9,1,UNPOLARIZED,-152.5418700147143
cc-pvdz,-0.19999999999999996,LDA,8,3,UNPOLARIZED,-152.53490233225446
cc-pvdz,-0.19999999999999996,LDA,9,3,UNPOLARIZED,-152.51953407649856
cc-pvdz,-0.19999999999999996,LDA,10,1,UNPOLARIZED,-152.46912635312898
cc-pvdz,-0.19999999999999996,LDA,10,3,UNPOLARIZED,-152.464123538375
cc-pvdz,-0.19999999999999996,LDA,11,1,UNPOLARIZED,-152.46043344371597
cc-pvdz,-0.19999999999999996,LDA,11,3,UNPOLARIZED,-152.41865576431843
cc-pvdz,-0.19999999999999996,LDA,12,3,UNPOLARIZED,-152.39618946224957
cc-pvdz,-0.19999999999999996,LDA,12,1,UNPOLARIZED,-152.38871233012333
cc-pvdz,-0.19999999999999996,LDA,13,1,UNPOLARIZED,-152.32197826579923
cc-pvdz,-0.19999999999999996,LDA,13,3,UNPOLARIZED,-152.31228356777117
cc-pvdz,-0.19999999999999996,LDA,14,1,UNPOLARIZED,-152.3108759212063
cc-pvdz,-0.19999999999999996,LDA,14,3,UNPOLARIZED,-152.2831644293399
cc-pvdz,-0.19999999999999996,LDA,15,1,UNPOLARIZED,-152.28197968784093
cc-pvdz,-0.19999999999999996,LDA,15,3,UNPOLARIZED,-152.14391671636804
cc-pvdz,-0.19999999999999996,LDA,16,1,UNPOLARIZED,-152.12046607512946
cc-pvdz,-0.19999999999999996,LDA,17,1,UNPOLARIZED,-152.1180130984244
cc-pvdz,-0.19999999999999996,LDA,18,1,UNPOLARIZED,-152.09906067037352
cc-pvdz,-0.19999999999999996,LDA,19,1,UNPOLARIZED,-152.07220527609638
cc-pvdz,-0.19999999999999996,LDA,20,1,UNPOLARIZED,-152.03265219814725
cc-pvdz,-0.09999999999999998,LDA,1,1,UNPOLARIZED,-152.9923591018263
cc-pvdz,-0.09999999999999998,LDA,1,3,UNPOLARIZED,-152.9765515163464
cc-pvdz,-0.09999999999999998,LDA,2,1,UNPOLARIZED,-152.92323152077432
cc-pvdz,-0.09999999999999998,LDA,3,1,UNPOLARIZED,-152.89327798843794
cc-pvdz,-0.09999999999999998,LDA,2,3,UNPOLARIZED,-152.85293905179321
cc-pvdz,-0.09999999999999998,LDA,3,3,UNPOLARIZED,-152.83598377118773
cc-pvdz,-0.09999999999999998,LDA,1,5,UNPOLARIZED,-152.72542944693677
cc-pvdz,-0.09999999999999998,LDA,4,3,UNPOLARIZED,-152.70964234557385
cc-pvdz,-0.09999999999999998,LDA,4,1,UNPOLARIZED,-152.707892054302
